id,asmb_code,ac_type,pc_id,district_id,state_id,asmb_name,status,created_at,updated_at
66,65,Gen,7,11,21,Ludhiana North,1,2023-08-23 05:34:52,2023-08-23 05:34:52
67,66,SC,8,11,21,Gill,1,2023-08-23 05:34:52,2023-08-23 05:34:52
68,67,SC,7,11,21,Payal,1,2023-08-23 05:34:52,2023-08-23 05:34:52
69,68,Gen,8,11,21,Dakha,1,2023-08-23 05:34:52,2023-08-23 05:34:52
70,69,SC,7,11,21,Raikot,1,2023-08-23 05:34:52,2023-08-23 05:34:52
71,70,SC,9,11,21,Jagraon,1,2023-08-23 05:34:52,2023-08-23 05:34:52
72,71,SC,9,12,21,Nihal Singh Wala,1,2023-08-23 05:34:52,2023-08-23 05:34:52
73,72,Gen,9,12,21,Bhagha Purana,1,2023-08-23 05:34:52,2023-08-23 05:34:52
74,73,Gen,9,12,21,Moga,1,2023-08-23 05:34:52,2023-08-23 05:34:52
75,74,Gen,3,12,21,Dharamkot,1,2023-08-23 05:34:52,2023-08-23 05:34:52
76,75,Gen,10,13,21,Zira,1,2023-08-23 05:34:52,2023-08-23 05:34:52
77,76,Gen,10,13,21,Firozpur City,1,2023-08-23 05:34:52,2023-08-23 05:34:52
78,77,SC,10,13,21,Firozpur Rural,1,2023-08-23 05:34:52,2023-08-23 05:34:52
79,78,Gen,10,13,21,Guru Har Sahai,1,2023-08-23 05:34:52,2023-08-23 05:34:52
80,79,Gen,10,23,21,Jalalabad,1,2023-08-23 05:34:52,2023-08-23 05:34:52
81,80,Gen,10,23,21,Fazilka,1,2023-08-23 05:34:52,2023-08-23 05:34:52
82,81,Gen,10,23,21,Abohar,1,2023-08-23 05:34:52,2023-08-23 05:34:52
83,82,SC,11,23,21,Balluana,1,2023-08-23 05:34:52,2023-08-23 05:34:52
84,83,Gen,9,14,21,Lambi,1,2023-08-23 05:34:52,2023-08-23 05:34:52
85,84,Gen,10,14,21,Gidderbaha,1,2023-08-23 05:34:52,2023-08-23 05:34:52
86,85,SC,10,14,21,Malout,1,2023-08-23 05:34:52,2023-08-23 05:34:52
87,86,Gen,9,14,21,Muktsar,1,2023-08-23 05:34:52,2023-08-23 05:34:52
88,87,Gen,9,15,21,Faridkot,1,2023-08-23 05:34:52,2023-08-23 05:34:52
89,88,Gen,9,15,21,Kotkapura,1,2023-08-23 05:34:52,2023-08-23 05:34:52
90,89,SC,9,15,21,Jaitu,1,2023-08-23 05:34:52,2023-08-23 05:34:52
91,90,Gen,11,16,21,Rampura Phul,1,2023-08-23 05:34:52,2023-08-23 05:34:52
92,91,SC,11,16,21,Bhucho Mandi,1,2023-08-23 05:34:52,2023-08-23 05:34:52
93,92,Gen,11,16,21,Bathinda Urban,1,2023-08-23 05:34:52,2023-08-23 05:34:52
94,93,SC,11,16,21,Bathinda Rural,1,2023-08-23 05:34:52,2023-08-23 05:34:52
95,94,Gen,11,16,21,Talwandi Sabo,1,2023-08-23 05:34:52,2023-08-23 05:34:52
96,95,Gen,11,16,21,Maur,1,2023-08-23 05:34:52,2023-08-23 05:34:52
97,96,Gen,11,17,21,Mansa,1,2023-08-23 05:34:52,2023-08-23 05:34:52
98,97,Gen,11,17,21,Sardulgarh,1,2023-08-23 05:34:52,2023-08-23 05:34:52
99,98,SC,12,17,21,Budhlada,1,2023-08-23 05:34:52,2023-08-23 05:34:52
100,99,Gen,12,18,21,Lehra,1,2023-08-23 05:34:52,2023-08-23 05:34:52
101,100,SC,12,18,21,Dirba,1,2023-08-23 05:34:52,2023-08-23 05:34:52
102,101,Gen,12,18,21,Sunam,1,2023-08-23 05:34:52,2023-08-23 05:34:52
105,102,SC,12,19,21,Bhadaur,1,2023-08-23 05:34:52,2023-08-23 05:34:52
106,103,Gen,8,19,21,Barnala,1,2023-08-23 05:34:52,2023-08-23 05:34:52
107,104,SC,12,19,21,Mehal Kalan,1,2023-08-23 05:34:52,2023-08-23 05:34:52
108,105,Gen,12,21,21,Malerkotla,1,2023-08-23 05:34:52,2023-08-23 05:34:52
109,106,Gen,13,21,21,Amargarh,1,2023-08-23 05:34:52,2023-08-23 05:34:52
103,107,Gen,12,18,21,Dhuri,1,2023-08-23 05:34:52,2023-08-23 05:34:52
104,108,Gen,12,18,21,Sangrur,1,2023-08-23 05:34:52,2023-08-23 05:34:52
110,109,SC,13,20,21,Nabha,1,2023-08-23 05:34:52,2023-08-23 05:34:52
111,110,Gen,13,20,21,Patiala Rural,1,2023-08-23 05:34:52,2023-08-23 05:34:52
112,111,Gen,13,20,21,Rajpura,1,2023-08-23 05:34:52,2023-08-23 05:34:52
54,112,Gen,8,9,21,Dera Bassi,1,2023-08-23 05:34:52,2023-08-23 05:34:52
113,113,Gen,13,20,21,Ghanaur,1,2023-08-23 05:34:52,2023-08-23 05:34:52
114,114,Gen,13,20,21,Sanour,1,2023-08-23 05:34:52,2023-08-23 05:34:52
115,115,Gen,13,20,21,Patiala,1,2023-08-23 05:34:52,2023-08-23 05:34:52
116,116,Gen,13,20,21,Samana,1,2023-08-23 05:34:52,2023-08-23 05:34:52
117,117,SC,13,20,21,Shutrana,1,2023-08-23 05:34:52,2023-08-23 05:34:52
